Vehicle.codetext,Vehicle.defaultText,Vehicle.functStructFile,Vehicle.indexTopo,Vehicle.TCOM,Vehicle.vehTypeCode
7831,MEGANE II,,8,86,X84
23923,CLIO V6 ph2,,9,88,X65
26906,MASTER PROP.,,0,107,X24
27623,SCENIC II,,10,108,X84
30187,MODUS,,12,111,J77
13418,CLIO III,,18,113,X85
18505,MAST.PRO.ph2,,13,114,X70
18822,LAGUNA II,,14,116,X74
18823,ESPACE IV,,16,117,X81
26462,VEL SATIS,,15,118,X73
18974,VELSATIS ph2,,17,119,X73
30798,LAGUNAII ph2,,19,121,X74
29922,SAMSUNG 7,,21,122,SM7
29923,SAMSUNG 5 EX,,20,123,SM5
2631, ClioII ph2/3,,22,124,X65
29925,SAMSUNG 3,,25,125,SM3
2759,SAMSUNG 3 MY 06,,23,126,SM3
29924,SAMSUNG 5,,24,127,SM5
1190,TWINGO II,,26,128,X44
1516,ESPACE IV ph2/3/4,,27,129,X81
8956,TRAFIC II ph2/3,,28,130,X83
197,MASTER ph3,,29,131,X70
198,LAGUNA III,DFG_132.Xml,30,132,X91
4629,MASTER PRO. ph3,,31,133,X24
4632,KOLEOS/QM5,,34,134,H45
4734,KANGOO II,,32,135,X61
4735,LOGAN,,0,136,X90
4736,SAMSUNG 5 MY 07,,33,137,SM5
52702,MEGANE/SCENIC III,DFG_138.Xml,36,138,X95
53730,SANDERO,,0,139,B90
53805,SAMSUNG 7 MY 07,,35,140,SM7
6562,THALIA/SYMBOL II,,0,141,L35
54794,NEW SM3/FLUENCE/MEGANE,DFG_142.Xml,37,142,X38
55051,LATITUDE/SM5,DFG_143.Xml,38,143,X43
55280,MASTER III,DFG_144.Xml,39,144,X62
55726,WIND,,40,145,W33
56153,DUSTER,,0,146,X79
56541,KANGOO ZE ph2,DFG_147.Xml,41,147,X61
57083,LAGUNA III/SM 7,DFG_148.Xml,42,148,X47
57135,LODGY,DFG_149.Xml,43,149,X92
57136,DOKKER,DFG_150.Xml,44,150,X67
57542,LOGAN/SANDERO II,DFG_151.Xml,45,151,X52
56964,TWIZY,,0,152,X09
57543,ZOE,DFG_154.Xml,47,154,X10
57746,CLIO IV,DFG_155.Xml,46,155,X98
58117,CAPTUR/QM3,DFG_156.Xml,48,156,X87
58361,CLIO II ph6,,0,157,X65
58441,TRAFIC III,DFG_158.Xml,50,158,X82
58568,DUSTER ph2,DFG_159.Xml,49,159,X79
58933,TWINGO III,DFG_160.Xml,51,160,X07
59128,ESPACE V,DFG_161.Xml,52,161,XFC
58927,KANGOO VLL,,0,162,X76
59686,KWID,DFG_163.Xml,53,163,XBA
59756,KADJAR,DFG_164.Xml,54,164,XFE
59817,CAPTUR/KAPTUR BR/IN/RU,DFG_165.Xml,60,165,XHA
59914,TALISMAN/SM6,DFG_166.Xml,55,166,XFD
59910,SCENIC IV,DFG_167.Xml,58,167,XFA
59911,MEGANE IV,DFG_168.Xml,56,168,XFB
60076,KADJAR CN,DFG_169.Xml,57,169,XZH
60193,KOLEOS II/QM6,DFG_170.Xml,59,170,XZG
60212,KOLEOS II/QM6 CN,DFG_171.Xml,62,171,XZJ
60737,MEGANE IV SEDAN,DFG_173.Xml,61,173,XFF
60930,ALASKAN,,0,174,D23
61133,KWID BR,DFG_175.Xml,63,175,XBB
61311,ALPINE A110,DFG_176.Xml,64,176,XEF
61265,DUSTER II,DFG_177.Xml,65,177,XJD
