Category,Command,Description
Warning lights,30011104,ABS off
Warning lights,30012004,ABS on
Warning lights,30011115,Airbag off
Warning lights,30012015,Airbag on
Warning lights,30011108,ASR/ESP o
Warning lights,30012008,ASR/ESP on
Warning lights,30011113,Battery icon on
Warning lights,30012013,Battery icon on
Warning lights,30011114,Check engine off
Warning lights,30012014,Check engine on
Warning lights,3001110A,Cruise control off
Warning lights,3001200A,Cruise control on
Warning lights,3001110E,Exclaimation mark off
Warning lights,3001200E,Exclaimation mark on
Warning lights,30011101,Front fog light off
Warning lights,30012001,Front fog light on
Warning lights,30011112,Fuel low off
Warning lights,30012012,Fuel low on
Warning lights,30011111,Gas off
Warning lights,30012011,Gas on
Warning lights,30011105,High beam off
Warning lights,30012005,High beam on
Warning lights,30011109,Indicator left off
Warning lights,30012009,Indicator left on
Warning lights,3001110C,Indicator right off
Warning lights,3001200C,Indicator right on
Warning lights,30011106,Main beam off
Warning lights,30012006,Main beam on
Warning lights,30011110,Oil off
Warning lights,30012010,Oil on
Warning lights,30011102,Passenger Airbag Off Off
Warning lights,30012002,Passenger Airbag Off On
Warning lights,30011107,Rear fog light on
Warning lights,30012007,Rear fog light on
Warning lights,3001110F,Seat belt off
Warning lights,3001200F,Seat belt on
Warning lights,30011100,Service off
Warning lights,30012000,Service on
Warning lights,3001110B,Speed limiter off
Warning lights,3001200B,Speed limiter on
Warning lights,30012003,Stop on
Warning lights,30011103,Stop uit
Warning lights,3001110D,
Warning lights,3001200D,
Needles,3004207D,130km/h
Needles,30052019,2500 rpm
Needles,3006201E,Fuel 1/2 tank
Needles,30072065,Temperature second mark
Needles,300420DD,230km/h
Needles,30052032,5000 rpm
Needles,3006203C,Full tank
Needles,3007208C,Temperature max
Needles,300411,0 km/h
Needles,300511,0 rpm
Needles,300611,
Needles,300711,Temperature 0
Lighting,30082080,Dashboard  illumination on
Lighting,30092080,Dashboard illuminiation off
Lighting,300820FF,Dashboard needles illumination on
Lighting,300920FF,
Lighting,300811,Dashboard needles illumination off
Lighting,300911,
Display,300320,Display full on
Display,300311,Display full off
Symbol,3001200D,
Symbol,30022000,
Symbol,30022001,
Symbol,30022004,
Symbol,30022005,
Symbol,30022006,
Symbol,30022007,
Symbol,30022008,
Symbol,30022009,
Symbol,3002200C,
Symbol,3002200D,
Symbol,3002200E,
Symbol,3002200F,
Symbol,30022011,
Symbol,30022014,
Symbol,30022015,
Symbol,30022016,
Symbol,30022017,
Symbol,30022019,
Symbol,3002201C,
Symbol,3002201E,
Symbol,3002201F,
Symbol,30021100,
Symbol,30021101,
Symbol,30021104,
Symbol,30021105,
Symbol,30021106,
Symbol,30021107,
Symbol,30021108,
Symbol,30021109,
Symbol,3002110C,
Symbol,3002110D,
Symbol,3002110E,
Symbol,3002110F,
Symbol,30021111,
Symbol,30021114,
Symbol,30021115,
Symbol,30021116,
Symbol,30021117,
Symbol,30021119,
Symbol,3002111C,
Symbol,3002111F,
Symbol,3002111E,
Symbol,3001110D,
Buzzer,300A20,Buzzer on
Buzzer,300A11,Buzzer off
