Pin,Code,Clio III Ph2,Megane III,Kangoo II,Trafic II,Twingo II,Koleos I,Descriptions
1,34HY,*,*,*,*,*,*,MULTIMEDIA STOP/START CONTROL
2,BPT3,*,*,*,*,*,*,+ BATTERY PROTECTED / TIMED RELAY
3,BCP4,*,*,*,*,*,*,PROTECTED + BATTERY FEED CIRCUIT BREAKER MEMORY FUSE
4,34AP,*,*,*,*,*,*,RADIO SATELLITE SIGNAL L0
5,34AQ,*,*,*,*,*,*,RADIO SATELLITE SIGNAL L1
6,34AR,*,*,*,*,*,*,RADIO SATELLITE SIGNAL L2
7,34AO,*,*,*,,,*,RADIO SATELLITE L3 (LINE 3) SIGNAL
8,34AU,*,*,*,*,*,*,RADIO SATELLITE IN2 SIGNAL
9,34AT,*,*,*,*,*,*,RADIO SATELLITE IN1 SIGNAL
10,34AS,*,*,*,*,*,*,RADIO SATELLITE IN0 SIGNAL
11,34HU,*,*,*,*,*,*,MULTIMEDIA WAKE-UP SIGNAL
12,NAM,*,*,*,*,*,*,UPPER LEFT-HAND CROSS MEMBER ELECTRONIC EARTH
13,,,,,,,,
14,96C,,,*,,,,+ DRIVER'S SEAT BELT REMINDER LIGHT
15,107X,*,*,*,*,*,*,DIAGNOSTIC SOCKET CANL MULTIMEDIA SIGNAL
16,107W,*,*,*,*,*,*,DIAGNOSTIC SOCKET CANH MULTIMEDIA SIGNAL
17,133C,*,*,*,*,*,*,INSTRUMENT PANEL CAN L SIGNAL > COMPUTER
18,133B,*,*,*,*,*,*,INSTRUMENT PANEL CAN H SIGNAL > COMPUTER
19,60PC,*,*,*,,,,PASSENGER AIRBAG OFF WARNING LIGHT CONTROL
20,60PB,*,*,*,,,,PASSENGER AIRBAG OFF WARNING LIGHT + FEED
21,96L,*,*,*,,,,DRIVER'S SEATBELT REMINDER LIGHT CONTROL
22,60PD,,*,,,,,PASSENGER AIRBAG ON WARNING LIGHT CONTROL
23,47C,,,,*,,,EXTERNAL TEMPERATURE SENSOR + SIGNAL
24,47D,,,,*,,,EXTERNAL TEMPERATURE SENSOR ZERO VOLTS SIGNAL
